threads, n, time, speedup, efficiency
 1,                 1000,         0.365000,         1.000000,         1.000000
 1,                10000,        17.716000,         1.000000,         1.000000
 1,               100000,       801.921021,         1.000000,         1.000000
 2,                 1000,         0.170000,         2.147059,         1.073529
 2,                10000,        10.205000,         1.736012,         0.868006
 2,               100000,       796.056030,         1.007368,         0.503684
 5,                 1000,         0.146000,         2.500000,         0.500000
 5,                10000,         2.829000,         6.262283,         1.252457
 5,               100000,       213.123993,         3.762697,         0.752539
10,                 1000,         0.216000,         1.689815,         0.168981
10,                10000,         2.926000,         6.054682,         0.605468
10,               100000,       213.903000,         3.748994,         0.374899
